year,city,country,avg_temp-Taipei,global_avg_temp,5-year MA-Taipei,5-year-MA-global
1841,Taipei,Taiwan,21.35,7.69,,
1842,Taipei,Taiwan,21.73,8.02,,
1843,Taipei,Taiwan,21.82,8.17,,
1844,Taipei,Taiwan,21.47,7.65,,
1845,Taipei,Taiwan,21.57,7.85,21.588,7.88 
1846,Taipei,Taiwan,22.09,8.55,21.736,8.05 
1847,Taipei,Taiwan,21.86,8.09,21.762,8.06 
1848,Taipei,Taiwan,21.36,7.98,21.67,8.02 
1849,Taipei,Taiwan,21.68,7.98,21.712,8.09 
1850,Taipei,Taiwan,21.88,7.9,21.774,8.10 
1851,Taipei,Taiwan,21.85,8.18,21.726,8.03 
1852,Taipei,Taiwan,21.89,8.1,21.732,8.03 
1853,Taipei,Taiwan,22.22,8.04,21.904,8.04 
1854,Taipei,Taiwan,22.22,8.21,22.012,8.09 
1855,Taipei,Taiwan,21.89,8.11,22.014,8.13 
1856,Taipei,Taiwan,21.54,8,21.952,8.09 
1857,Taipei,Taiwan,21.94,7.76,21.962,8.02 
1858,Taipei,Taiwan,21.67,8.1,21.852,8.04 
1859,Taipei,Taiwan,21.87,8.25,21.782,8.04 
1860,Taipei,Taiwan,21.7,7.96,21.744,8.01 
1861,Taipei,Taiwan,21.65,7.85,21.766,7.98 
1862,Taipei,Taiwan,20.86,7.56,21.55,7.94 
1863,Taipei,Taiwan,21.44,8.11,21.504,7.95 
1864,Taipei,Taiwan,21.25,7.98,21.38,7.89 
1865,Taipei,Taiwan,22.16,8.18,21.472,7.94 
1866,Taipei,Taiwan,21.84,8.29,21.51,8.02 
1867,Taipei,Taiwan,21.71,8.44,21.68,8.20 
1868,Taipei,Taiwan,22.16,8.25,21.824,8.23 
1869,Taipei,Taiwan,22.22,8.43,22.018,8.32 
1870,Taipei,Taiwan,22.28,8.2,22.042,8.32 
1871,Taipei,Taiwan,22.34,8.12,22.142,8.29 
1872,Taipei,Taiwan,22.28,8.19,22.256,8.24 
1873,Taipei,Taiwan,21.9,8.35,22.204,8.26 
1874,Taipei,Taiwan,22.04,8.43,22.168,8.26 
1875,Taipei,Taiwan,21.73,7.86,22.058,8.19 
1876,Taipei,Taiwan,21.58,8.08,21.906,8.18 
1877,Taipei,Taiwan,21.98,8.54,21.846,8.25 
1878,Taipei,Taiwan,22.03,8.83,21.872,8.35 
1879,Taipei,Taiwan,22.21,8.17,21.906,8.30 
1880,Taipei,Taiwan,21.54,8.12,21.868,8.35 
1881,Taipei,Taiwan,21.82,8.27,21.916,8.39 
1882,Taipei,Taiwan,21.67,8.13,21.854,8.30 
1883,Taipei,Taiwan,21.61,7.98,21.77,8.13 
1884,Taipei,Taiwan,21.16,7.77,21.56,8.05 
1885,Taipei,Taiwan,21.32,7.92,21.516,8.01 
1886,Taipei,Taiwan,21.16,7.95,21.384,7.95 
1887,Taipei,Taiwan,21.78,7.91,21.406,7.91 
1888,Taipei,Taiwan,22.19,8.09,21.522,7.93 
1889,Taipei,Taiwan,21.89,8.32,21.668,8.04 
